Date,BNB-USD,BTC-USD,ETH-USD,SOL-USD
2020-04-01,12.741602897644043,6606.7763671875,135.63455200195312,
2020-04-02,13.066638946533203,6793.62451171875,142.02914428710938,
2020-04-03,13.373007774353027,6733.38720703125,142.09130859375,
2020-04-04,13.824527740478516,6867.52734375,145.21939086914062,
2020-04-05,13.734115600585938,6791.12939453125,143.54664611816406,
2020-04-06,15.084521293640137,7271.78125,169.13587951660156,
2020-04-07,14.681547164916992,7176.41455078125,165.10194396972656,
2020-04-08,15.056076049804688,7334.0986328125,172.64173889160156,
2020-04-09,15.062603950500488,7302.08935546875,170.80714416503906,
2020-04-10,13.737724304199219,6865.4931640625,158.41244506835938,0.9510539770126343
2020-04-11,13.804287910461426,6859.0830078125,158.2160186767578,0.7768189907073975
2020-04-12,14.375110626220703,6971.091796875,161.14242553710938,0.8825070261955261
2020-04-13,15.03442668914795,6845.03759765625,156.27955627441406,0.7778319716453552
2020-04-14,15.525075912475586,6842.427734375,157.5963897705078,0.6619250178337097
2020-04-15,14.593927383422852,6642.10986328125,153.28689575195312,0.646651029586792
2020-04-16,15.702730178833008,7116.80419921875,172.15737915039062,0.6908159852027893
2020-04-17,15.735082626342773,7096.1845703125,171.63858032226562,0.6607279777526855
2020-04-18,16.593172073364258,7257.6650390625,186.91400146484375,0.6810960173606873
2020-04-19,16.13993263244629,7189.4248046875,181.61495971679688,0.6069689989089966
2020-04-20,15.085403442382812,6881.95849609375,172.2971649169922,0.538811981678009
2020-04-21,15.205772399902344,6880.3232421875,172.73770141601562,0.5876590013504028
2020-04-22,15.693160057067871,7117.20751953125,182.59957885742188,0.6916009783744812
2020-04-23,16.006208419799805,7429.724609375,185.02867126464844,0.6274570226669312
2020-04-24,16.01641845703125,7550.90087890625,189.2369384765625,0.6342419981956482
2020-04-25,16.305418014526367,7569.93603515625,195.5153045654297,0.6433290243148804
2020-04-26,16.38376808166504,7679.8671875,197.31753540039062,0.6355059742927551
2020-04-27,16.463214874267578,7795.60107421875,197.22471618652344,0.5723720192909241
2020-04-28,16.444286346435547,7807.05859375,198.41539001464844,0.6612930297851562
2020-04-29,17.4937744140625,8801.0380859375,216.96823120117188,0.7458400130271912
2020-04-30,17.03397560119629,8658.5537109375,207.60205078125,0.6910449862480164
2020-05-01,17.564992904663086,8864.7666015625,214.21910095214844,0.7287939786911011
2020-05-02,17.584903717041016,8988.5966796875,215.32537841796875,0.7158759832382202
2020-05-03,17.126298904418945,8897.46875,210.9331512451172,0.6795349717140198
2020-05-04,17.10075569152832,8912.654296875,208.17401123046875,0.6674910187721252
