Date,BNB-USD,BTC-USD,ETH-USD,SOL-USD
2020-04-11,0.004845315336679201,-0.0009336774645052337,-0.0012399681825301379,-0.183201995382563
2020-04-12,0.041351116367740026,0.016329994685138294,0.01849627417518529,0.13605233233534308
2020-04-13,0.045865112281266995,-0.018082418492216368,-0.030177461003746964,-0.11861101548553488
2020-04-14,0.032635047113688254,-0.0003812781513637953,0.008426140484949274,-0.14901284343772403
2020-04-15,-0.05997706770016409,-0.029275847531044064,-0.02734513160377705,-0.023075103426223542
2020-04-16,0.07597699825953907,0.07146740203164859,0.12310565300359055,0.0682979746343535
2020-04-17,0.0020603071657803174,-0.002897315751431484,-0.003013514905287895,-0.04355430113747505
2020-04-18,0.05453352024888125,0.02275595669052466,0.08899759665861406,0.030826664366898626
2020-04-19,-0.027314815932362846,-0.009402505352301915,-0.02835015946648367,-0.10883490221971936
2020-04-20,-0.0653366537567539,-0.04276646838190479,-0.05130521634525309,-0.11229077161024226
2020-04-21,0.007979167277777366,-0.00023761461322069355,0.0025568412529346496,0.09065689207628735
2020-04-22,0.03205280497087126,0.034429236680519004,0.05709163292415953,0.1768746446242231
2020-04-23,0.019948076843257834,0.043910071328696176,0.013302836854422573,-0.09274705749883716
2020-04-24,0.0006378798128616747,0.016309658285092787,0.022743865494742277,0.010813450616710574
2020-04-25,0.018043956473193123,0.002520911948821203,0.0331772757444222,0.01432737999861855
2020-04-26,0.004805155382638482,0.014522071498782596,0.009217850433584918,-0.01216026283044902
2020-04-27,0.004849116040128054,0.015069777105927384,-0.00047040529712094603,-0.09934439258748406
2020-04-28,-0.0011497467521739413,0.001469741643032707,0.006037143067803674,0.15535527156689266
2020-04-29,0.06382083390651005,0.1273180520232342,0.09350505112105334,0.12785101223507955
2020-04-30,-0.02628356819878719,-0.01618949646720247,-0.04316844161041067,-0.07346753435334552
2020-05-01,0.031174008692926858,0.023816089558295506,0.03187372256679111,0.05462595517556745
2020-05-02,0.0011335508352323664,0.013968791699848548,0.005164233538947682,-0.017725167647626994
2020-05-03,-0.026079461110591673,-0.010138170944239966,-0.020398093365129433,-0.05076439547505718
2020-05-04,-0.0014914613503583807,0.0017067266322232655,-0.013080637151445917,-0.017723816202594445
2020-05-05,-0.01058319793801299,0.010144678859214995,-0.006723281251511781,-0.03843350277948909
2020-05-06,-0.015527963263886613,0.029511199738283755,-0.013147723734789785,-0.029996736699170246
2020-05-07,0.02138155239228645,0.07366214135771076,0.04034988409481799,-0.015429249687847868
2020-05-08,0.013417653458322354,-0.010938284289408906,0.00330757754176636,-0.013142372509544864
2020-05-09,-0.017719787346621718,-0.025274608612654736,-0.006532882629624592,-0.0006529767195619929
2020-05-10,-0.09685261969918646,-0.0872915214038874,-0.10869825445616221,-0.1116460007020118
2020-05-11,-0.012952943545010642,-0.017659566044374797,-0.014245641667949727,-0.04052071407840341
2020-05-12,0.04262341494554667,0.023562712138033515,0.018286301098228597,0.04522463442379432
2020-05-13,0.02527304067427405,0.05287193516704303,0.05219297764835762,0.02219923712394878
2020-05-14,0.013564862635349728,0.05002535168149658,0.018855121721672363,0.033760144922358126
2020-05-15,-0.0368891902915488,-0.04166180495059313,-0.03609984668213273,-0.016457105704353547
2020-05-16,0.01887775158541416,0.005233209039209763,0.025837796493022314,0.07033120791218894
2020-05-17,0.016376068887928863,0.03132400103227817,0.03229848650838507,0.023148930226394526
2020-05-18,0.01971351621129558,0.005773698991511145,0.035559036772175645,0.06473365240378759
2020-05-19,0.031160737768501923,0.00025321252090737545,-0.005006147613569434,-0.04323165344686286
2020-05-20,-0.015543167521756773,-0.02117954918100662,-0.015714933991157976,-0.07254023251818342
2020-05-21,-0.04533650682179924,-0.04633209978369557,-0.04861158117206166,0.051383376429573024
2020-05-22,0.03208036749132326,0.01110086707949609,0.036449129788362455,0.04920233150330988
2020-05-23,-0.003088971621649339,0.0029087652089092586,0.007362134898328376,-0.04045232262889442
2020-05-24,-0.030428570065209937,-0.045488748514099786,-0.03030292616887509,-0.1043634225296487
2020-05-25,0.0197388534684384,0.013260696716498988,0.014574278854364575,0.09435155593811739
2020-05-26,-0.011484743392652819,-0.008070322664891605,-0.016644452016541522,-0.04585124378168681
2020-05-27,0.017316028011149065,0.039158209254817056,0.034477666422055187,0.030835177436802752
2020-05-28,0.03432035064172556,0.037548495632866885,0.05255582341240994,-0.02678575660940008
2020-05-29,-0.001038125305581672,-0.009093976247976698,0.0037968519368642983,0.00740670501062235
2020-05-30,0.041180800029368525,0.02768159825145977,0.0982007880562834,0.01470100054819623
