Date,BTC-USD,ETH-USD,SOL-USD,BNB-USD
2020-04-17,0.005538313195785793,0.0960765133487933,-0.3122219077103212,-0.020566953383890252
2020-04-24,0.13469357745870347,0.14865132734857656,0.04701554022537002,0.08145024888976748
2020-05-01,0.15319620115410393,0.04212883279087043,0.06928179938869006,0.028915129103355364
2020-05-08,-0.022058338604972416,-0.0844490367508568,-0.20970369814849166,-0.06966531335550719
2020-05-15,0.10501026810200109,0.12750669311241314,0.1414343166737606,0.08980399548252804
2020-05-22,-0.09188835973976506,-0.05410511831951592,-0.10430202535936262,-0.05491893247753166
2020-05-29,0.07863574756711933,0.1749199470671945,0.03819116392723454,0.06333096628676271
2020-06-05,0.027901569900104617,0.03242740371589847,0.08167403539877416,0.011373634154868695
2020-06-12,-0.02630498852683394,-0.04285338596881327,-0.04784627755411541,-0.058124358191340986
2020-06-19,0.009607208483068952,0.04149023823810105,0.14661103213375526,3.716679820220392e-05
2020-06-26,-0.05105737178739589,-0.07301954362785235,0.18620841282549727,-0.06143896364235024
2020-07-03,0.012506485574639292,0.05638392694605754,-0.13379046189821042,0.08801612046593332
2020-07-10,-0.000979594128641459,0.004751451584223743,0.46995655709365813,0.07827462448370337
2020-07-17,0.01424545942752986,0.020004192472605986,-0.09478261501692142,-0.02032307482649931
2020-07-24,0.16404842349673987,0.29239038211378476,0.700561379412358,0.1387571414913218
2020-07-31,0.026855501040696117,0.23122233760351185,0.11353837515368537,0.10454469516105558
2020-08-07,0.01826117920311532,-0.02434475838014194,0.5292704731613058,-0.04602879248708236
2020-08-14,0.050892311084081765,0.11379353640460743,0.27030526418992573,0.08515974456518172
2020-08-21,-0.05212963604677667,-0.0936302744778501,-0.018673482221488902,-0.06900774162330148
2020-08-28,0.05317055995392006,0.24231932649158638,0.33511361015482577,0.15584037944887585
2020-09-04,-0.15362476208967868,-0.29231577432934686,-0.3042907919779373,-0.06574172423127933
2020-09-11,0.0656796604577321,0.08067808260413112,0.045299441385151074,0.17300988315126808
2020-09-18,-0.023941129937759098,-0.05573970366165737,-0.110029017418803,-0.11402123716167445
2020-09-25,0.02905364400466559,0.044278870514533164,0.09824223680888666,0.19676735707136506
2020-10-02,-0.022152359244269615,-0.052650839417637485,-0.20201796404197148,-0.03912398522208782
2020-10-09,0.0774671532470288,0.11846546346325826,-0.03553941078275746,0.10796568902398662
2020-10-16,0.042923145837551635,-0.03162160424675342,-0.08749400411051267,-0.061983164606292385
2020-10-23,0.14584046141363038,0.09443688172119447,-0.19275362755777803,0.09843536649162665
2020-10-30,0.02168428942520051,-0.04058165117170609,-0.10496406866265717,-0.1511335257076254
2020-11-06,0.09609839841602885,0.16015765122414494,0.34800856991850715,0.04975573526246224
2020-11-13,0.15398070390609608,0.06822735261690083,-0.05256611406336986,0.011961629425459641
2020-11-20,0.08285774626186337,0.257177261701532,0.04973042417425089,0.18480414909747744
2020-11-27,-0.01593444234307151,-0.02744439428068457,-0.10708930238017855,-0.10930481589989183
2020-12-04,-0.02562641949032607,-0.05532957992434362,-0.031802152253729066,-0.08210347496569936
2020-12-11,0.059817859018343134,0.062231623209712206,-0.1557465948266773,0.06914731502733318
2020-12-18,0.22485121273428077,0.07720058467262114,-0.0012009597626316815,0.13319888355298581
2020-12-25,0.15050261926033626,0.15226481382260992,-0.1666269702885571,0.16336324135952585
2021-01-01,0.24230268913359776,0.5037263377428176,0.6590040042233307,0.07141377682323147
2021-01-08,-0.0020436535616501494,-0.051428381190178896,0.603380483939365,-0.08681021619262419
2021-01-15,0.06328585980319845,0.3199638363764499,0.10156285736277448,0.12263778522690538
