Date,BTC-USD,ETH-USD,SOL-USD,BNB-USD
2020-04-10,6842.427734375,157.5963897705078,0.8825070261955261,15.525075912475586
2020-04-17,6880.3232421875,172.73770141601562,0.6069689989089966,15.205772399902344
2020-04-24,7807.05859375,198.41539001464844,0.6355059742927551,16.444286346435547
2020-05-01,9003.0703125,206.7743988037109,0.6795349717140198,16.919775009155273
2020-05-08,8804.4775390625,189.3125,0.5370339751243591,15.741053581237791
2020-05-15,9729.0380859375,213.45111083984372,0.6129890084266663,17.1546630859375
2020-05-22,8835.052734375,201.90231323242188,0.5490530133247375,16.212547302246094
2020-05-29,9529.8037109375,237.21905517578125,0.5700219869613647,17.239303588867188
2020-06-05,9795.7001953125,244.9114532470703,0.6165779829025269,17.43537712097168
2020-06-12,9538.0244140625,234.41616821289065,0.5870770215988159,16.42195701599121
2020-06-19,9629.658203125,244.14215087890625,0.6731489896774292,16.42256736755371
2020-06-26,9137.9931640625,226.31500244140625,0.7984949946403503,15.413581848144531
2020-07-03,9252.27734375,239.07553100585935,0.6916639804840088,16.770225524902344
2020-07-10,9243.2138671875,240.21148681640625,1.0167160034179688,18.082908630371094
2020-07-17,9374.8876953125,245.0167236328125,0.9203490018844604,17.715408325195312
2020-07-24,10912.8232421875,316.6572570800781,1.5651099681854248,20.173547744750977
2020-07-31,11205.892578125,389.87548828125,1.7428100109100342,22.28258514404297
2020-08-07,11410.525390625,380.3840637207031,2.6652278900146484,21.25694465637207
2020-08-14,11991.2333984375,423.6693115234375,3.385653018951416,23.06718063354492
2020-08-21,11366.134765625,384.00103759765625,3.3224310874938965,21.475366592407227
2020-08-28,11970.478515625,477.0519104003906,4.4358229637146,24.82209587097168
2020-09-04,10131.5166015625,337.60211181640625,3.086042881011963,23.190248489379883
2020-09-11,10796.951171875,364.8392028808594,3.2258388996124268,27.202390670776367
2020-09-18,10538.4599609375,344.503173828125,2.8709030151367188,24.100740432739254
2020-09-25,10844.640625,359.75738525390625,3.152946949005127,28.842979431152344
2020-10-02,10604.40625,340.8158569335937,2.5159950256347656,27.714527130126957
