,retorno_acumulado,retorno_anualizado,vol_anual,sharpe,sortino,max_drawdown
1/N,1.4543073357902094,0.19670137241671326,0.6361999442670246,0.30918168759561243,0.4795673429834605,-0.7940909499021636
shannon,1.6291297541661378,0.21328381446813816,0.7058707692302738,0.3021570289710627,0.4874910200377666,-0.8439184364814963
tsallis,1.6093216886557284,0.21145008523691233,0.6981984554525914,0.3028509782363305,0.4846946542489729,-0.839444450514776
renyi,1.6317041200494895,0.21352132376729194,0.6942804529604132,0.3075433318867564,0.4881724009442335,-0.8369456695605683
wse,1.738984506477292,0.22325757871647722,0.7141409927462379,0.3126239509903184,0.5080454620071162,-0.8495135183856863
kl,2.079092766934308,0.252231299320439,0.7087298734025588,0.355892010180826,0.5821611860368685,-0.8428652160720794
