Date,1/N,shannon,tsallis,renyi,wse,kl
2021-04-16,1.0318502851721303,1.083656558458199,1.0840424788364758,1.0861356025247013,1.08505175632519,1.0883235792364778
2021-04-23,1.1742463667813026,1.335463843537019,1.32080536379071,1.3199458932266008,1.3626184816315108,1.3893682120685535
2021-04-30,1.2494197701489553,1.3884864180357896,1.389133600117534,1.4023654636082743,1.4081414203117317,1.4287246771891269
2021-05-07,1.3711956427561816,1.4477027410601893,1.4713992273243433,1.4999219892490065,1.4562764349655584,1.4714693822714333
2021-05-14,1.1613702239031316,1.3345691880430146,1.3350479705115623,1.3522656634985284,1.366287361757957,1.3924514892657802
2021-05-21,0.8408724654043893,0.8382684280306515,0.8438777380438102,0.8565231120320953,0.8556998542310701,0.8713700905026655
2021-05-28,0.8705313182167294,0.9146513062103461,0.9165957355835871,0.9290357624275775,0.9356749395089858,0.9533824451894669
2021-06-04,0.9408912657544459,1.1333326479817925,1.1130958984211323,1.11901521209712,1.181280119320999,1.2129640072622634
2021-06-11,0.9916825623771048,1.117589090355069,1.0957427837722333,1.1015870449564422,1.1623994052508468,1.1931697488802302
2021-06-18,0.7771075884745545,0.924411061404399,0.8897722343677891,0.887178310083734,0.9765260330054287,1.0088179822178744
2021-06-25,0.836646770116452,0.9319670428415038,0.9092835414243098,0.9126961823870037,0.9725262857292176,0.9994455983592172
2021-07-02,0.873029886300425,0.9923959886139204,0.9729906588197365,0.9791712128344565,1.0331358175931111,1.0604314084517916
2021-07-09,0.8053351306939778,0.9239279817882071,0.9027345425542298,0.9073547080279494,0.9595779762477492,0.9843919748016637
2021-07-16,0.7090255654193622,0.7912682838452924,0.7744457743097802,0.7794636632825235,0.821795675012877,0.8430788387258882
2021-07-23,0.8588372852446949,0.9014168430976688,0.885745897835266,0.8934429033360183,0.9335014201516509,0.9562497208870308
2021-07-30,0.923711253680672,1.0058467413799863,0.9867108456333779,0.9961836817614543,1.0472790204128986,1.0823998778872448
2021-08-06,1.0859564751664303,1.1515754264826479,1.1338081773735103,1.1505022747367486,1.1966062207164831,1.2347378660443893
2021-08-13,1.2073753063466395,1.3530837344677296,1.3275874691114937,1.3415853242927838,1.4075575342656053,1.4828120601669028
2021-08-20,1.4028621174366018,1.6449137678488288,1.608566222506683,1.619607023907712,1.7158414958516488,1.8261568754346176
2021-08-27,1.5268130376954652,1.8568965819130256,1.8111466235489704,1.822947521060937,1.9485424166333547,2.1123941145308875
2021-09-03,1.6768967752202724,2.200473755760844,2.1199210306146177,2.1158663499137966,2.3504759642702444,2.627158975506471
2021-09-10,1.7722733620300595,2.4683538298732293,2.352707922655626,2.335502169344823,2.66507049616048,2.9937057732486627
2021-09-17,1.4957284681087257,2.109419009161886,2.00040509346968,1.9811297858815464,2.284446961460274,2.5705502050859335
2021-09-24,1.4509436792615413,1.9671923845723482,1.8708276925948235,1.8555645023152982,2.126566682356957,2.390363021671985
2021-10-01,1.853550044196584,2.5196197114692045,2.4043030732614876,2.389398781134993,2.7119221553592876,3.044515226071199
2021-10-08,1.8261742393369509,2.329878456164405,2.226873417687838,2.2159758323851215,2.498613681703327,2.8032176541514153
2021-10-15,2.0250941158235727,2.5460424379554074,2.430533671104346,2.4170419099381104,2.732469861275773,3.0670787184169144
2021-10-22,2.1520435331119927,2.9346718199860797,2.782251616714005,2.7543235194622158,3.1807038876674034,3.5787133661019803
2021-10-29,2.3228138270459895,3.0819920799233724,2.951813672485185,2.939206912009786,3.3081450216308053,3.7088600654541115
2021-11-05,2.5968009814307806,3.622182841159992,3.4624202302766336,3.4464686176397588,3.886161229562186,4.3594274035184455
2021-11-12,2.383677481378196,3.39040883904719,3.2387773264074875,3.222846280710683,3.6369121366501926,4.0807596254245775
2021-11-19,2.3593633866986803,3.3367946498495527,3.2018296444491785,3.193791415634186,3.5699833397292506,3.9988814596047115
2021-11-26,2.3461833111967603,3.1508855229567163,3.05917959531285,3.073648579637079,3.3360855153167437,3.7182259350435536
2021-12-03,2.1875698129009273,3.005490731927643,2.9175866055677364,2.9314264632607685,3.185331403048488,3.550669719124565
2021-12-10,1.9433112971679916,2.657359218383354,2.5730757812010014,2.5813524888677617,2.8197571346669195,3.1460635909240264
2021-12-17,2.0384680164342526,2.770707704466408,2.6827018533270044,2.6914141902664483,2.9429379384781376,3.283572081539977
2021-12-24,2.0532763624764927,2.909182895090768,2.8067657191440003,2.8112003922632898,3.0957599244614666,3.4583103637644395
2021-12-31,1.9517511978463997,2.6844008546881937,2.597313725986379,2.605265994841695,2.8527218764532942,3.1830419318549987
2022-01-07,1.706022496642796,2.2653873477221675,2.200004289020216,2.209380172646404,2.3920882018314917,2.6644307623507277
2022-01-14,1.7217295812693705,2.326804657738199,2.2565135230461393,2.2622974528112594,2.4593321536307937,2.7416908497867265
2022-01-21,1.3500965315691968,1.7284614996590955,1.6835966742478141,1.6849862916224765,1.8124613799419709,2.0115897478274407
2022-01-28,1.392094143712474,1.7079762310815563,1.6682704498243757,1.6797984411344542,1.7869145795280916,1.9772452702693293
2022-02-04,1.5846942202551255,1.9866357830994834,1.9269394951584324,1.9303483456536226,2.0971584524790146,2.3353643347030895
2022-02-11,1.5431816914070446,1.7955223967841132,1.7628628465605993,1.7804361078470876,1.870963790884802,2.0738264067803476
2022-02-18,1.3616328863935172,1.6576171611212298,1.6180663539150435,1.6296644005591134,1.7345784705714724,1.926529036790474
2022-02-25,1.4694871197347403,1.6754459074601855,1.637465889418647,1.6501021393509179,1.7543464876041335,1.9479230833932955
2022-03-04,1.3460004354880866,1.593617164705349,1.5554349882358944,1.5660495548761264,1.6639489940924106,1.8472264830061071
2022-03-11,1.3254794421407952,1.5288152819265117,1.49244130995618,1.5028525978818599,1.5994284265241565,1.7755500758490468
