Date,1/N,shannon,tsallis,renyi,wse,kl
2021-04-16,0.031850285172130344,0.083656558458199,0.08404247883647581,0.08613560252470141,0.08505175632518992,0.08832357923647786
2021-04-23,0.13800071934410355,0.23236816416917683,0.21840738677358512,0.21526804770823443,0.25580966409046946,0.2766131677890099
2021-04-30,0.06401842534434113,0.03970348935717994,0.05173225230606445,0.06244162795203619,0.03340842597827867,0.028326878921447123
2021-05-07,0.09746594020415421,0.042648111105162693,0.059220817349640784,0.06956569323214798,0.03418336678369329,0.029918084124089236
2021-05-14,-0.15302369137586305,-0.07814694951418279,-0.09266775072372976,-0.09844267022474153,-0.06179394999942427,-0.053699991286041616
2021-05-21,-0.2759651934433224,-0.3718808769593494,-0.3679045572269183,-0.36660144884834805,-0.37370433323040525,-0.3742187090753685
2021-05-28,0.03527152336719308,0.09111983181704843,0.08617124763635099,0.08465930384931045,0.09346160909397505,0.09411885441178161
2021-06-04,0.08082414275668778,0.2390871147142444,0.21438040262366664,0.20449099738972898,0.26248985565531907,0.2722743253587071
2021-06-11,0.053982110867967725,-0.0138913827769449,-0.015589954714156699,-0.015574557836453354,-0.015983265748182287,-0.01631891652474518
2021-06-18,-0.21637465661209676,-0.17285246484402905,-0.1879734481986407,-0.1946362167695846,-0.15990490996965576,-0.15450590063598818
2021-06-25,0.07661639459572347,0.008173832781301293,0.021928428762877896,0.028762957810432935,-0.00409589416054913,-0.009290460741046787
2021-07-02,0.04348683038471405,0.06484021751259891,0.07006298309945781,0.07283368960040854,0.062321741585059064,0.06101963948082263
2021-07-09,-0.07754002087295354,-0.06899262755116795,-0.07220636254692225,-0.073344175017785,-0.07119861696086498,-0.07170613115009852
2021-07-16,-0.11958942507776002,-0.14358229273039216,-0.14211128764549621,-0.14094933724803735,-0.14358635217290433,-0.14355372625243867
2021-07-23,0.21129240909208205,0.13920507304689667,0.1437158381097519,0.14622777869272152,0.13592885498822269,0.13423523039929838
2021-07-30,0.07553697254479771,0.11585083979954264,0.11398861461833111,0.11499422967244259,0.12188262149913398,0.13192177131638325
2021-08-06,0.1756449548917663,0.14488159985757568,0.14907845838636696,0.15490977798635253,0.14258587959177413,0.1407409509824556
2021-08-13,0.11180819301399808,0.17498489751606225,0.17091012007593478,0.1660866334225698,0.17629133953759024,0.20091243732343375
